T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2005,Consumer price index: General,71.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
4,Afghanistan,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
4,Afghanistan,2015,Consumer price index: General,132.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
4,Afghanistan,2015,Consumer price index: Food,100.8,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2000,Consumer price index: General,85.6,Break in the time series.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2005,Consumer price index: General,90.8,Break in the time series.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2010,Consumer price index: General,100.0,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2015,Consumer price index: General,108.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2021,Consumer price index: General,114.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2022,Consumer price index: General,122.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2023,Consumer price index: General,131.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2000,Consumer price index: Food,83.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2005,Consumer price index: Food,90.3,Break in the time series.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2015,Consumer price index: Food,114.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2021,Consumer price index: Food,119.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
