T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,2015,Researchers per million inhabitants (FTE),"3,943.8",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2021,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
21,Northern America,2021,Researchers per million inhabitants (FTE),"4,513.9",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2005,Researchers per million inhabitants (FTE),359.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2010,Researchers per million inhabitants (FTE),433.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2015,Researchers per million inhabitants (FTE),529.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
419,Latin America & the Caribbean,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
