T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
100,Bulgaria,2021,Researchers per million inhabitants (FTE),"2,339.3",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
854,Burkina Faso,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
854,Burkina Faso,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
854,Burkina Faso,2010,Researchers per million inhabitants (FTE),46.8,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
854,Burkina Faso,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,Break in the time series.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
854,Burkina Faso,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
108,Burundi,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
108,Burundi,2012,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
108,Burundi,2012,Researchers per million inhabitants (FTE),20.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
108,Burundi,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
108,Burundi,2018,Researchers per million inhabitants (FTE),23.2,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
132,Cabo Verde,2002,Researchers per million inhabitants (FTE),127.7,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
132,Cabo Verde,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
132,Cabo Verde,2011,Researchers per million inhabitants (FTE),47.7,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
132,Cabo Verde,2014,Researchers per million inhabitants (FTE),117.9,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
116,Cambodia,2002,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,Estimate.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
116,Cambodia,2002,Researchers per million inhabitants (FTE),17.9,Estimate.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
116,Cambodia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
116,Cambodia,2015,Researchers per million inhabitants (FTE),30.8,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2005,Researchers per million inhabitants (FTE),"4,263.8",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2010,Researchers per million inhabitants (FTE),"4,696.4",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2015,Researchers per million inhabitants (FTE),"4,582.4",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2020,Researchers per million inhabitants (FTE),"5,076.2",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
124,Canada,2022,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
148,Chad,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
148,Chad,2016,Researchers per million inhabitants (FTE),58.8,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2010,Researchers per million inhabitants (FTE),321.5,Do not correspond exactly to Frascati Manual recommendations.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2015,Researchers per million inhabitants (FTE),459.8,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
152,Chile,2020,Researchers per million inhabitants (FTE),518.7,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2005,Researchers per million inhabitants (FTE),860.0,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2010,Researchers per million inhabitants (FTE),901.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2015,Researchers per million inhabitants (FTE),"1,164.9",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2021,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
156,China,2021,Researchers per million inhabitants (FTE),"1,687.1",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2005,Researchers per million inhabitants (FTE),"2,601.5",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2010,Researchers per million inhabitants (FTE),"3,049.5",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2015,Researchers per million inhabitants (FTE),"3,472.3",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2022,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
344,"China, Hong Kong SAR",2022,Researchers per million inhabitants (FTE),"4,809.0",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Estimate.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2005,Researchers per million inhabitants (FTE),617.2,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2010,Researchers per million inhabitants (FTE),635.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2015,Researchers per million inhabitants (FTE),"1,261.1",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2022,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
446,"China, Macao SAR",2022,Researchers per million inhabitants (FTE),"3,544.5",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2015,Researchers per million inhabitants (FTE),70.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2017,Researchers per million inhabitants (FTE),89.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
170,Colombia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
178,Congo,2000,Researchers per million inhabitants (FTE),33.3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
178,Congo,2022,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,Estimate.;Higher Education only.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
178,Congo,2022,Researchers per million inhabitants (FTE),128.2,Estimate.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2004,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2004,Researchers per million inhabitants (FTE),108.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2005,Researchers per million inhabitants (FTE),123.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2010,Researchers per million inhabitants (FTE),380.6,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2015,Researchers per million inhabitants (FTE),493.0,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
188,Costa Rica,2021,Researchers per million inhabitants (FTE),399.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
384,Côte d’Ivoire,2005,Researchers per million inhabitants (FTE),67.7,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
384,Côte d’Ivoire,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2005,Researchers per million inhabitants (FTE),"1,291.0",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2010,Researchers per million inhabitants (FTE),"1,623.3",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2015,Researchers per million inhabitants (FTE),"1,490.8",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
191,Croatia,2021,Researchers per million inhabitants (FTE),"2,330.9",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
192,Cuba,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
192,Cuba,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
192,Cuba,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
192,Cuba,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Estimate.;Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2005,Researchers per million inhabitants (FTE),930.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2010,Researchers per million inhabitants (FTE),"1,104.8",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2015,Researchers per million inhabitants (FTE),"1,010.6",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
196,Cyprus,2021,Researchers per million inhabitants (FTE),"1,743.3",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2005,Researchers per million inhabitants (FTE),"2,353.4",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2010,Researchers per million inhabitants (FTE),"2,798.9",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2015,Researchers per million inhabitants (FTE),"3,619.3",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
203,Czechia,2021,Researchers per million inhabitants (FTE),"4,568.6",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
180,Dem. Rep. of the Congo,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Break in the time series.;Government only.;Science and technology budget instead of research and development expenditure.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
180,Dem. Rep. of the Congo,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Government only.;Science and technology budget instead of research and development expenditure.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
180,Dem. Rep. of the Congo,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,Break in the time series.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
180,Dem. Rep. of the Congo,2015,Researchers per million inhabitants (FTE),10.4,Excluding business enterprise.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2005,Researchers per million inhabitants (FTE),"5,193.6",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2010,Researchers per million inhabitants (FTE),"6,759.6",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2015,Researchers per million inhabitants (FTE),"7,561.0",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2021,Gross domestic expenditure on R&D: as a percentage of GDP,2.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
208,Denmark,2021,Researchers per million inhabitants (FTE),"7,707.7",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
218,Ecuador,2003,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
218,Ecuador,2003,Researchers per million inhabitants (FTE),48.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
218,Ecuador,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
