T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 1 (% of exports),Italy,,16.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 1 (% of exports),Italy,,26.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 1 (% of imports),China,,16.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 1 (% of imports),China,,22.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2015,Major trading partner 2 (% of exports),France,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 2 (% of exports),France,,13.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 2 (% of exports),France,,12.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2015,Major trading partner 2 (% of imports),France,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 2 (% of imports),France,,13.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 2 (% of imports),France,,11.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2015,Major trading partner 3 (% of exports),Spain,,17.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 3 (% of exports),Spain,,13.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 3 (% of exports),Spain,,11.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2015,Major trading partner 3 (% of imports),Italy,,9.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2020,Major trading partner 3 (% of imports),Italy,,6.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
12,Algeria,2023,Major trading partner 3 (% of imports),Italy,,7.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 1 (% of exports),Spain,,57.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 1 (% of exports),Spain,,72.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 1 (% of exports),Spain,,44.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 1 (% of imports),Spain,,64.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 1 (% of imports),Spain,,72.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 1 (% of imports),Spain,,64.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 2 (% of exports),"Other Europe, nes",,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 2 (% of exports),"Other Europe, nes",,1.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 2 (% of exports),"Other Europe, nes",,21.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 2 (% of imports),France,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 2 (% of imports),France,,9.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 2 (% of imports),France,,10.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 3 (% of exports),France,,19.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 3 (% of exports),France,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 3 (% of exports),France,,12.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2015,Major trading partner 3 (% of imports),Germany,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2020,Major trading partner 3 (% of imports),Germany,,3.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
20,Andorra,2023,Major trading partner 3 (% of imports),Germany,,5.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 1 (% of exports),China,,59.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 1 (% of exports),China,,42.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 1 (% of imports),China,,16.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2015,Major trading partner 2 (% of exports),India,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 2 (% of exports),India,,7.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 2 (% of exports),India,,10.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2015,Major trading partner 2 (% of imports),Portugal,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 2 (% of imports),Portugal,,13.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 2 (% of imports),Portugal,,10.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2015,Major trading partner 3 (% of exports),France,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 3 (% of exports),France,,2.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 3 (% of exports),France,,7.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
