T31,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
24,Angola,2021,Tourist/visitor arrivals (thousands),TF,,64,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2022,Tourist/visitor arrivals (thousands),TF,,130,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,1995,Tourism expenditure (millions of US dollars),,,27,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2005,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2010,Tourism expenditure (millions of US dollars),,,726,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2020,Tourism expenditure (millions of US dollars),,,19,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2021,Tourism expenditure (millions of US dollars),,,23,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
24,Angola,2022,Tourism expenditure (millions of US dollars),,,24,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,,39,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2020,Tourist/visitor arrivals (thousands),TF,,25,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2021,Tourist/visitor arrivals (thousands),TF,,28,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2022,Tourist/visitor arrivals (thousands),TF,,74,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,,50,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,,86,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,,99,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2020,Tourism expenditure (millions of US dollars),,,48,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2021,Tourism expenditure (millions of US dollars),,,59,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
660,Anguilla,2022,Tourism expenditure (millions of US dollars),,,134,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,,220,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,,245,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,,230,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2020,Tourist/visitor arrivals (thousands),TF,,125,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2021,Tourist/visitor arrivals (thousands),TF,,169,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2022,Tourist/visitor arrivals (thousands),TF,,265,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2020,Tourism expenditure (millions of US dollars),,,412,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2021,Tourism expenditure (millions of US dollars),,,539,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
28,Antigua and Barbuda,2022,Tourism expenditure (millions of US dollars),,,773,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,"2,289",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,"3,823",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,"6,800",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2020,Tourist/visitor arrivals (thousands),TF,,"2,090",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2021,Tourist/visitor arrivals (thousands),TF,,297,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2022,Tourist/visitor arrivals (thousands),TF,,"3,890",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,"2,550",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,"3,209",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,"5,605",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2020,Tourism expenditure (millions of US dollars),,,"1,793",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2021,Tourism expenditure (millions of US dollars),,,433,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
32,Argentina,2022,Tourism expenditure (millions of US dollars),,,"3,694",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
