T31,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
818,Egypt,1995,Tourist/visitor arrivals (thousands),VF,,"3,133",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2005,Tourist/visitor arrivals (thousands),VF,,"8,608",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2010,Tourist/visitor arrivals (thousands),VF,,"14,731",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2020,Tourist/visitor arrivals (thousands),VF,,"3,677",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2021,Tourist/visitor arrivals (thousands),VF,,"7,998",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2022,Tourist/visitor arrivals (thousands),VF,,"11,724",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,1995,Tourism expenditure (millions of US dollars),,,"2,954",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2005,Tourism expenditure (millions of US dollars),,,"7,206",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2010,Tourism expenditure (millions of US dollars),,,"13,633",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2020,Tourism expenditure (millions of US dollars),,,"4,874",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2021,Tourism expenditure (millions of US dollars),,,"9,499",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
818,Egypt,2022,Tourism expenditure (millions of US dollars),,,"13,625",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,1995,Tourist/visitor arrivals (thousands),TF,,235,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2005,Tourist/visitor arrivals (thousands),TF,,"1,127",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2010,Tourist/visitor arrivals (thousands),TF,,"1,150",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2020,Tourist/visitor arrivals (thousands),TF,,549,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2021,Tourist/visitor arrivals (thousands),TF,,"1,219",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2022,Tourist/visitor arrivals (thousands),TF,,"1,891",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,1995,Tourism expenditure (millions of US dollars),,,152,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2005,Tourism expenditure (millions of US dollars),,,656,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2010,Tourism expenditure (millions of US dollars),,,646,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2020,Tourism expenditure (millions of US dollars),,,755,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2021,Tourism expenditure (millions of US dollars),,,"1,225",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
222,El Salvador,2022,Tourism expenditure (millions of US dollars),,,"2,235",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
226,Equatorial Guinea,1995,Tourism expenditure (millions of US dollars),,,1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
232,Eritrea,1995,Tourist/visitor arrivals (thousands),VF,,315,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
232,Eritrea,2005,Tourist/visitor arrivals (thousands),VF,,83,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
232,Eritrea,2010,Tourist/visitor arrivals (thousands),VF,,84,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
232,Eritrea,1995,Tourism expenditure (millions of US dollars),,,58,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
232,Eritrea,2005,Tourism expenditure (millions of US dollars),,,66,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,1995,Tourist/visitor arrivals (thousands),TF,,530,Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2005,Tourist/visitor arrivals (thousands),TF,,"1,917",Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2010,Tourist/visitor arrivals (thousands),TF,,"2,511",Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2020,Tourist/visitor arrivals (thousands),TF,,"1,023",Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2021,Tourist/visitor arrivals (thousands),TF,,808,Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2022,Tourist/visitor arrivals (thousands),TF,,"2,166",Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,1995,Tourism expenditure (millions of US dollars),,,452,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2005,Tourism expenditure (millions of US dollars),,,"1,229",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2020,Tourism expenditure (millions of US dollars),,,833,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2021,Tourism expenditure (millions of US dollars),,,904,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
233,Estonia,2022,Tourism expenditure (millions of US dollars),,,"1,630",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,1995,Tourist/visitor arrivals (thousands),TF,,300,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2005,Tourist/visitor arrivals (thousands),TF,,837,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2010,Tourist/visitor arrivals (thousands),TF,,868,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2020,Tourist/visitor arrivals (thousands),TF,,194,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2021,Tourist/visitor arrivals (thousands),TF,,170,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2022,Tourist/visitor arrivals (thousands),TF,,393,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,1995,Tourism expenditure (millions of US dollars),,,54,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2005,Tourism expenditure (millions of US dollars),,,77,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2010,Tourism expenditure (millions of US dollars),,,51,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2020,Tourism expenditure (millions of US dollars),,,7,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2021,Tourism expenditure (millions of US dollars),,,8,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
748,Eswatini,2022,Tourism expenditure (millions of US dollars),,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,1995,Tourist/visitor arrivals (thousands),TF,,103,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2005,Tourist/visitor arrivals (thousands),TF,,227,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2010,Tourist/visitor arrivals (thousands),TF,,468,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2020,Tourist/visitor arrivals (thousands),TF,,271,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2021,Tourist/visitor arrivals (thousands),TF,,518,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2022,Tourist/visitor arrivals (thousands),TF,,897,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,1995,Tourism expenditure (millions of US dollars),,,177,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2005,Tourism expenditure (millions of US dollars),,,533,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2010,Tourism expenditure (millions of US dollars),,,"1,434",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2020,Tourism expenditure (millions of US dollars),,,"2,282",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2021,Tourism expenditure (millions of US dollars),,,"2,601",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
231,Ethiopia,2022,Tourism expenditure (millions of US dollars),,,"3,883",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,1995,Tourist/visitor arrivals (thousands),TF,,318,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2005,Tourist/visitor arrivals (thousands),TF,,545,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2010,Tourist/visitor arrivals (thousands),TF,,632,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2020,Tourist/visitor arrivals (thousands),TF,,147,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2021,Tourist/visitor arrivals (thousands),TF,,32,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2022,Tourist/visitor arrivals (thousands),TF,,636,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,1995,Tourism expenditure (millions of US dollars),,,369,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2005,Tourism expenditure (millions of US dollars),,,722,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2010,Tourism expenditure (millions of US dollars),,,825,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2020,Tourism expenditure (millions of US dollars),,,237,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2021,Tourism expenditure (millions of US dollars),,,66,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
242,Fiji,2022,Tourism expenditure (millions of US dollars),,,"1,069",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,1995,Tourist/visitor arrivals (thousands),TF,,"1,779",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2005,Tourist/visitor arrivals (thousands),TF,,"3,140",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2010,Tourist/visitor arrivals (thousands),TF,,"3,670",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2020,Tourist/visitor arrivals (thousands),TF,,896,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2021,Tourist/visitor arrivals (thousands),TF,,807,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2022,Tourist/visitor arrivals (thousands),TF,,"2,127",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,1995,Tourism expenditure (millions of US dollars),,,"2,383",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2005,Tourism expenditure (millions of US dollars),,,"3,069",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2010,Tourism expenditure (millions of US dollars),,,"4,496",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2020,Tourism expenditure (millions of US dollars),,,"1,757",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2021,Tourism expenditure (millions of US dollars),,,"1,541",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
246,Finland,2022,Tourism expenditure (millions of US dollars),,,"3,557",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,1995,Tourist/visitor arrivals (thousands),TF,,"60,033",Data revision.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2005,Tourist/visitor arrivals (thousands),TF,,"74,988",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2010,Tourist/visitor arrivals (thousands),TF,,"76,647",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2020,Tourist/visitor arrivals (thousands),TF,,"41,684",Data revision.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2021,Tourist/visitor arrivals (thousands),TF,,"48,395",Data revision.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,1995,Tourism expenditure (millions of US dollars),,,"31,295",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2005,Tourism expenditure (millions of US dollars),,,"52,126",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2010,Tourism expenditure (millions of US dollars),,,"56,178",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2020,Tourism expenditure (millions of US dollars),,,"35,796",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2021,Tourism expenditure (millions of US dollars),,,"44,665",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
250,France,2022,Tourism expenditure (millions of US dollars),,,"67,369",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
254,French Guiana,2005,Tourist/visitor arrivals (thousands),TF,,95,Survey at Cayenne-Rochambeau airport on departure.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
254,French Guiana,2005,Tourism expenditure (millions of US dollars),,,44,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,1995,Tourist/visitor arrivals (thousands),TF,,172,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2005,Tourist/visitor arrivals (thousands),TF,,208,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2010,Tourist/visitor arrivals (thousands),TF,,154,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2020,Tourist/visitor arrivals (thousands),TF,,77,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2021,Tourist/visitor arrivals (thousands),TF,,83,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2022,Tourist/visitor arrivals (thousands),TF,,219,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,1995,Tourism expenditure (millions of US dollars),,,326,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2005,Tourism expenditure (millions of US dollars),,,759,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
258,French Polynesia,2010,Tourism expenditure (millions of US dollars),,,630,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
266,Gabon,1995,Tourist/visitor arrivals (thousands),TF,,125,Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
266,Gabon,2005,Tourist/visitor arrivals (thousands),TF,,269,Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
266,Gabon,1995,Tourism expenditure (millions of US dollars),,,94,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
266,Gabon,2005,Tourism expenditure (millions of US dollars),,,13,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
266,Gabon,2010,Tourism expenditure (millions of US dollars),,,89,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,1995,Tourist/visitor arrivals (thousands),TF,,45,Including nationals residing abroad.;Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2005,Tourist/visitor arrivals (thousands),TF,,108,Including nationals residing abroad.;Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2010,Tourist/visitor arrivals (thousands),TF,,91,Including nationals residing abroad.;Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2020,Tourist/visitor arrivals (thousands),TF,,246,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2021,Tourist/visitor arrivals (thousands),TF,,332,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2022,Tourist/visitor arrivals (thousands),TF,,570,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2005,Tourism expenditure (millions of US dollars),,,59,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2010,Tourism expenditure (millions of US dollars),,,80,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2020,Tourism expenditure (millions of US dollars),,,53,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2021,Tourism expenditure (millions of US dollars),,,67,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
270,Gambia,2022,Tourism expenditure (millions of US dollars),,,164,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2010,Tourist/visitor arrivals (thousands),TF,,"1,067",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2020,Tourist/visitor arrivals (thousands),TF,,"1,087",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2021,Tourist/visitor arrivals (thousands),TF,,"1,577",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2022,Tourist/visitor arrivals (thousands),TF,,"3,653",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2005,Tourism expenditure (millions of US dollars),,,287,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2010,Tourism expenditure (millions of US dollars),,,737,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2020,Tourism expenditure (millions of US dollars),,,586,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2021,Tourism expenditure (millions of US dollars),,,"1,351",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
268,Georgia,2022,Tourism expenditure (millions of US dollars),,,"3,782",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,1995,Tourist/visitor arrivals (thousands),TCE,,"14,847",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2005,Tourist/visitor arrivals (thousands),TCE,,"21,500",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2010,Tourist/visitor arrivals (thousands),TCE,,"26,875",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2020,Tourist/visitor arrivals (thousands),TCE,,"12,449",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2021,Tourist/visitor arrivals (thousands),TCE,,"11,688",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2022,Tourist/visitor arrivals (thousands),TCE,,"28,463",Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,1995,Tourism expenditure (millions of US dollars),,,"24,053",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2005,Tourism expenditure (millions of US dollars),,,"40,518",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2010,Tourism expenditure (millions of US dollars),,,"49,116",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2020,Tourism expenditure (millions of US dollars),,,"22,068",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2021,Tourism expenditure (millions of US dollars),,,"22,137",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
276,Germany,2022,Tourism expenditure (millions of US dollars),,,"31,257",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,1995,Tourist/visitor arrivals (thousands),TF,,286,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2005,Tourist/visitor arrivals (thousands),TF,,429,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2010,Tourist/visitor arrivals (thousands),TF,,931,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2020,Tourist/visitor arrivals (thousands),TF,,355,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2021,Tourist/visitor arrivals (thousands),TF,,624,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2022,Tourist/visitor arrivals (thousands),TF,,915,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,1995,Tourism expenditure (millions of US dollars),,,30,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2005,Tourism expenditure (millions of US dollars),,,867,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2010,Tourism expenditure (millions of US dollars),,,706,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2020,Tourism expenditure (millions of US dollars),,,191,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2021,Tourism expenditure (millions of US dollars),,,664,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
288,Ghana,2022,Tourism expenditure (millions of US dollars),,,895,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
300,Greece,1995,Tourist/visitor arrivals (thousands),TF,,"10,130",Information based on administrative data.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
300,Greece,2005,Tourist/visitor arrivals (thousands),TF,,"14,765",Information based on administrative data.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
300,Greece,2010,Tourist/visitor arrivals (thousands),TF,,"15,007",Information is based on the border survey conducted by the Bank of Greece.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
300,Greece,2020,Tourist/visitor arrivals (thousands),TF,,"7,374",Information is based on the border survey conducted by the Bank of Greece.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2023."
