T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
191,Croatia,2010,Balance of Payments: Current account (millions of US dollars),"-1,485",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2015,Balance of Payments: Current account (millions of US dollars),"1,658",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2021,Balance of Payments: Current account (millions of US dollars),652,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2022,Balance of Payments: Current account (millions of US dollars),"-2,336",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2023,Balance of Payments: Current account (millions of US dollars),957,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2010,Balance of Payments: Capital account (millions of US dollars),77,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2015,Balance of Payments: Capital account (millions of US dollars),337,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2021,Balance of Payments: Capital account (millions of US dollars),"1,647",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2022,Balance of Payments: Capital account (millions of US dollars),"1,744",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2023,Balance of Payments: Capital account (millions of US dollars),"2,360",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,1995,Balance of Payments: Financial account (millions of US dollars),"-1,102",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2010,Balance of Payments: Financial account (millions of US dollars),-862,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2015,Balance of Payments: Financial account (millions of US dollars),"2,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2021,Balance of Payments: Financial account (millions of US dollars),"1,961",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2022,Balance of Payments: Financial account (millions of US dollars),"-1,360",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
191,Croatia,2023,Balance of Payments: Financial account (millions of US dollars),"1,558",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2015,Balance of Payments: Current account (millions of US dollars),-519,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2021,Balance of Payments: Current account (millions of US dollars),-507,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2022,Balance of Payments: Current account (millions of US dollars),-877,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2021,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2022,Balance of Payments: Capital account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2015,Balance of Payments: Financial account (millions of US dollars),-483,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2021,Balance of Payments: Financial account (millions of US dollars),-539,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
531,Curaçao,2022,Balance of Payments: Financial account (millions of US dollars),-844,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1985,Balance of Payments: Current account (millions of US dollars),-180,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1995,Balance of Payments: Current account (millions of US dollars),-205,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2010,Balance of Payments: Current account (millions of US dollars),"-2,799",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2015,Balance of Payments: Current account (millions of US dollars),-84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2021,Balance of Payments: Current account (millions of US dollars),"-1,812",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2022,Balance of Payments: Current account (millions of US dollars),"-2,357",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2023,Balance of Payments: Current account (millions of US dollars),"-3,886",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2010,Balance of Payments: Capital account (millions of US dollars),72,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2015,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2021,Balance of Payments: Capital account (millions of US dollars),94,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2022,Balance of Payments: Capital account (millions of US dollars),49,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2023,Balance of Payments: Capital account (millions of US dollars),-8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1985,Balance of Payments: Financial account (millions of US dollars),-142,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,1995,Balance of Payments: Financial account (millions of US dollars),-150,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2010,Balance of Payments: Financial account (millions of US dollars),"-3,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2015,Balance of Payments: Financial account (millions of US dollars),379,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2021,Balance of Payments: Financial account (millions of US dollars),"-2,033",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2022,Balance of Payments: Financial account (millions of US dollars),"-2,150",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
196,Cyprus,2023,Balance of Payments: Financial account (millions of US dollars),"-3,111",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,1995,Balance of Payments: Current account (millions of US dollars),"-1,374",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2010,Balance of Payments: Current account (millions of US dollars),"-7,351",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2015,Balance of Payments: Current account (millions of US dollars),845,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2021,Balance of Payments: Current account (millions of US dollars),"-7,686",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2022,Balance of Payments: Current account (millions of US dollars),"-17,366",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2023,Balance of Payments: Current account (millions of US dollars),"1,281",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,1995,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2010,Balance of Payments: Capital account (millions of US dollars),"1,953",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2015,Balance of Payments: Capital account (millions of US dollars),"4,012",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2021,Balance of Payments: Capital account (millions of US dollars),"4,771",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2022,Balance of Payments: Capital account (millions of US dollars),305,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2023,Balance of Payments: Capital account (millions of US dollars),"4,018",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,1995,Balance of Payments: Financial account (millions of US dollars),-771,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2010,Balance of Payments: Financial account (millions of US dollars),"-6,445",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2015,Balance of Payments: Financial account (millions of US dollars),"7,002",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2021,Balance of Payments: Financial account (millions of US dollars),"-1,763",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2022,Balance of Payments: Financial account (millions of US dollars),"-17,360",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
203,Czechia,2023,Balance of Payments: Financial account (millions of US dollars),"6,475",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Current account (millions of US dollars),"-2,174",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Current account (millions of US dollars),"-1,484",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2021,Balance of Payments: Current account (millions of US dollars),-587,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Capital account (millions of US dollars),"10,084",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Capital account (millions of US dollars),252,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2021,Balance of Payments: Capital account (millions of US dollars),171,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2010,Balance of Payments: Financial account (millions of US dollars),"9,059",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2015,Balance of Payments: Financial account (millions of US dollars),"-1,241",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
180,Dem. Rep. of the Congo,2021,Balance of Payments: Financial account (millions of US dollars),"-1,275",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,1985,Balance of Payments: Current account (millions of US dollars),"-2,767",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,1995,Balance of Payments: Current account (millions of US dollars),"1,855",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2010,Balance of Payments: Current account (millions of US dollars),"21,051",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2015,Balance of Payments: Current account (millions of US dollars),"24,953",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2021,Balance of Payments: Current account (millions of US dollars),"36,940",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2022,Balance of Payments: Current account (millions of US dollars),"53,067",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2023,Balance of Payments: Current account (millions of US dollars),"44,195",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2010,Balance of Payments: Capital account (millions of US dollars),84,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2015,Balance of Payments: Capital account (millions of US dollars),"-1,057",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2021,Balance of Payments: Capital account (millions of US dollars),372,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2022,Balance of Payments: Capital account (millions of US dollars),558,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2023,Balance of Payments: Capital account (millions of US dollars),"-1,102",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,1985,Balance of Payments: Financial account (millions of US dollars),"-3,071",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,1995,Balance of Payments: Financial account (millions of US dollars),"2,929",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2010,Balance of Payments: Financial account (millions of US dollars),"-1,005",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2015,Balance of Payments: Financial account (millions of US dollars),"17,814",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2021,Balance of Payments: Financial account (millions of US dollars),"42,622",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2022,Balance of Payments: Financial account (millions of US dollars),"40,100",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
208,Denmark,2023,Balance of Payments: Financial account (millions of US dollars),"28,731",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,1995,Balance of Payments: Current account (millions of US dollars),78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2010,Balance of Payments: Current account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2015,Balance of Payments: Current account (millions of US dollars),714,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2021,Balance of Payments: Current account (millions of US dollars),-225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2022,Balance of Payments: Current account (millions of US dollars),656,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,1995,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2010,Balance of Payments: Capital account (millions of US dollars),55,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2015,Balance of Payments: Capital account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2021,Balance of Payments: Capital account (millions of US dollars),77,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2022,Balance of Payments: Capital account (millions of US dollars),26,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,1995,Balance of Payments: Financial account (millions of US dollars),-5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2010,Balance of Payments: Financial account (millions of US dollars),-17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2015,Balance of Payments: Financial account (millions of US dollars),-348,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2021,Balance of Payments: Financial account (millions of US dollars),-413,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
262,Djibouti,2022,Balance of Payments: Financial account (millions of US dollars),-485,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1985,Balance of Payments: Current account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1995,Balance of Payments: Current account (millions of US dollars),-40,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2010,Balance of Payments: Current account (millions of US dollars),-88,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2015,Balance of Payments: Current account (millions of US dollars),-38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2021,Balance of Payments: Current account (millions of US dollars),-183,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2022,Balance of Payments: Current account (millions of US dollars),-162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2023,Balance of Payments: Current account (millions of US dollars),-222,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1995,Balance of Payments: Capital account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2010,Balance of Payments: Capital account (millions of US dollars),33,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2015,Balance of Payments: Capital account (millions of US dollars),55,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2021,Balance of Payments: Capital account (millions of US dollars),161,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2022,Balance of Payments: Capital account (millions of US dollars),131,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2023,Balance of Payments: Capital account (millions of US dollars),178,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1985,Balance of Payments: Financial account (millions of US dollars),-7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,1995,Balance of Payments: Financial account (millions of US dollars),-34,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2010,Balance of Payments: Financial account (millions of US dollars),-89,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2015,Balance of Payments: Financial account (millions of US dollars),27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2021,Balance of Payments: Financial account (millions of US dollars),-62,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2022,Balance of Payments: Financial account (millions of US dollars),-81,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
212,Dominica,2023,Balance of Payments: Financial account (millions of US dollars),-21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1985,Balance of Payments: Current account (millions of US dollars),-108,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1995,Balance of Payments: Current account (millions of US dollars),-183,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2010,Balance of Payments: Current account (millions of US dollars),"-4,024",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2015,Balance of Payments: Current account (millions of US dollars),"-1,280",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2021,Balance of Payments: Current account (millions of US dollars),"-2,685",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2022,Balance of Payments: Current account (millions of US dollars),"-6,549",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2023,Balance of Payments: Current account (millions of US dollars),"-4,376",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1995,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2015,Balance of Payments: Capital account (millions of US dollars),"2,089",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2021,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2022,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2023,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1985,Balance of Payments: Financial account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,1995,Balance of Payments: Financial account (millions of US dollars),-107,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2010,Balance of Payments: Financial account (millions of US dollars),"-4,983",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2015,Balance of Payments: Financial account (millions of US dollars),-737,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2021,Balance of Payments: Financial account (millions of US dollars),"-3,092",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2022,Balance of Payments: Financial account (millions of US dollars),"-6,192",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
214,Dominican Republic,2023,Balance of Payments: Financial account (millions of US dollars),"-5,103",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,1985,Balance of Payments: Current account (millions of US dollars),76,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,1995,Balance of Payments: Current account (millions of US dollars),"-1,000",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,2010,Balance of Payments: Current account (millions of US dollars),"-1,582",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,2015,Balance of Payments: Current account (millions of US dollars),"-2,221",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,2021,Balance of Payments: Current account (millions of US dollars),"3,098",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,2022,Balance of Payments: Current account (millions of US dollars),"2,133",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,2023,Balance of Payments: Current account (millions of US dollars),"2,291",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
218,Ecuador,1995,Balance of Payments: Capital account (millions of US dollars),"2,078",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
